                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  1.118,                0.70047,                0.87125,                0.57052,                0.43646,                0.45607,                0.28117,                 1.1388,                0.79837,                0.87512,                0.00802,                0.00802,                0.00802
                     62,                 1.1146,                0.69841,                0.87098,                0.55967,                0.44198,                0.45554,                 0.2803,                 1.1383,                0.79537,                 0.8751,               0.007987,               0.007987,               0.007987
                     63,                 1.1178,                0.69888,                0.87053,                0.57372,                0.43098,                0.45481,                0.28045,                 1.1357,                 0.7963,                0.87593,               0.007954,               0.007954,               0.007954
                     64,                 1.1222,                0.69929,                0.87111,                0.56889,                0.43281,                0.45411,                0.28044,                 1.1365,                0.79138,                0.87498,               0.007921,               0.007921,               0.007921
                     65,                 1.1152,                0.69531,                0.87096,                0.57692,                0.42936,                0.45463,                0.28006,                 1.1363,                0.79309,                0.87565,               0.007888,               0.007888,               0.007888
                     66,                  1.115,                0.69088,                0.87034,                0.57005,                0.43309,                0.45776,                0.28189,                 1.1326,                0.79208,                0.87582,               0.007855,               0.007855,               0.007855
                     67,                 1.1129,                0.68882,                0.87097,                0.58004,                0.43501,                0.45877,                0.28249,                 1.1302,                0.79526,                0.87388,               0.007822,               0.007822,               0.007822
                     68,                 1.1078,                0.68339,                0.86977,                0.57218,                0.43227,                0.45469,                0.28029,                 1.1334,                0.79732,                0.87481,               0.007789,               0.007789,               0.007789
                     69,                 1.1075,                0.68255,                0.86848,                0.54933,                0.44187,                0.45478,                0.28183,                 1.1328,                0.79319,                0.87547,               0.007756,               0.007756,               0.007756
                     70,                 1.1001,                0.67773,                0.86767,                0.56707,                0.43951,                0.45724,                0.28193,                 1.1312,                0.79417,                0.87427,               0.007723,               0.007723,               0.007723
                     71,                 1.1044,                0.67786,                0.86719,                0.55903,                 0.4421,                0.45863,                0.28233,                 1.1291,                 0.7882,                0.87586,                0.00769,                0.00769,                0.00769
                     72,                 1.0948,                0.67108,                0.86776,                0.58473,                0.43145,                0.45825,                0.28198,                 1.1307,                0.78794,                0.87517,               0.007657,               0.007657,               0.007657
                     73,                 1.0983,                0.67257,                0.86702,                0.57363,                0.43336,                0.45473,                0.27995,                 1.1282,                0.79455,                0.87339,               0.007624,               0.007624,               0.007624
                     74,                 1.1024,                0.67398,                0.86678,                0.56744,                0.43539,                0.45602,                0.28045,                 1.1323,                0.79308,                0.87485,               0.007591,               0.007591,               0.007591
                     75,                 1.0929,                0.66833,                0.86476,                0.59379,                0.42047,                0.45519,                0.28107,                 1.1297,                0.79511,                0.87488,               0.007558,               0.007558,               0.007558
                     76,                 1.0945,                0.66665,                0.86534,                0.59567,                0.43031,                0.45773,                0.28342,                 1.1261,                0.79068,                0.87282,               0.007525,               0.007525,               0.007525
                     77,                 1.0914,                0.66165,                0.86554,                0.57448,                0.43687,                0.45783,                0.28356,                 1.1286,                0.79014,                0.87337,               0.007492,               0.007492,               0.007492
                     78,                 1.0901,                0.66247,                0.86599,                0.57019,                0.43709,                0.45848,                0.28294,                 1.1297,                0.79424,                0.87453,               0.007459,               0.007459,               0.007459
                     79,                 1.0896,                 0.6585,                0.86678,                0.57873,                0.43375,                0.45731,                0.28242,                 1.1285,                0.79463,                0.87343,               0.007426,               0.007426,               0.007426
                     80,                 1.0841,                0.65597,                0.86436,                0.57825,                0.42986,                0.45621,                 0.2831,                 1.1308,                0.79328,                0.87402,               0.007393,               0.007393,               0.007393
                     81,                 1.0889,                0.65863,                 0.8654,                0.58365,                0.42915,                0.45603,                0.28272,                 1.1256,                0.79417,                0.87202,                0.00736,                0.00736,                0.00736
                     82,                 1.0802,                0.65355,                0.86281,                0.57223,                0.43512,                 0.4562,                0.28253,                 1.1241,                 0.7901,                0.87183,               0.007327,               0.007327,               0.007327
                     83,                 1.0829,                0.65093,                  0.863,                0.57102,                0.43588,                0.45776,                0.28319,                 1.1251,                0.78906,                 0.8723,               0.007294,               0.007294,               0.007294
                     84,                 1.0791,                0.65276,                0.86289,                0.56871,                0.43749,                0.45752,                0.28233,                 1.1288,                0.79262,                0.87255,               0.007261,               0.007261,               0.007261
                     85,                 1.0786,                0.64764,                0.86268,                0.57102,                0.43621,                0.45779,                 0.2821,                 1.1295,                0.79181,                0.87271,               0.007228,               0.007228,               0.007228
                     86,                 1.0755,                0.64479,                0.86381,                 0.5749,                0.43673,                0.45835,                0.28341,                 1.1278,                0.79362,                0.87226,               0.007195,               0.007195,               0.007195
                     87,                 1.0732,                0.64392,                0.86362,                0.58087,                0.43575,                0.45841,                0.28349,                 1.1298,                0.79388,                0.87409,               0.007162,               0.007162,               0.007162
                     88,                 1.0699,                0.64161,                0.86236,                0.57113,                0.44105,                 0.4598,                0.28516,                 1.1315,                0.79311,                0.87458,               0.007129,               0.007129,               0.007129
                     89,                 1.0799,                0.64553,                0.86287,                0.56388,                0.44384,                0.45896,                0.28407,                 1.1322,                0.79713,                0.87433,               0.007096,               0.007096,               0.007096
                     90,                 1.0716,                0.63867,                0.86211,                0.56724,                0.44118,                0.45851,                0.28473,                 1.1305,                0.79776,                0.87323,               0.007063,               0.007063,               0.007063
                     91,                 1.0732,                0.63793,                0.86188,                0.57293,                0.43677,                0.45697,                0.28282,                 1.1317,                0.79949,                0.87377,                0.00703,                0.00703,                0.00703
                     92,                 1.0632,                0.63351,                0.86097,                0.56162,                0.44481,                0.45822,                0.28447,                 1.1278,                0.79543,                0.87311,               0.006997,               0.006997,               0.006997
                     93,                 1.0719,                0.63672,                0.86102,                0.55947,                0.44277,                0.45771,                0.28364,                 1.1286,                0.79396,                 0.8735,               0.006964,               0.006964,               0.006964
                     94,                 1.0647,                0.63162,                0.86072,                0.57269,                0.44025,                0.45696,                0.28304,                 1.1321,                0.79481,                0.87412,               0.006931,               0.006931,               0.006931
                     95,                  1.069,                0.63202,                0.86097,                0.56616,                0.44406,                0.45709,                0.28309,                 1.1333,                0.79666,                0.87484,               0.006898,               0.006898,               0.006898
                     96,                 1.0674,                 0.6321,                0.85969,                 0.5686,                0.44537,                0.45871,                0.28386,                 1.1303,                0.79723,                0.87444,               0.006865,               0.006865,               0.006865
                     97,                 1.0638,                0.62837,                0.85801,                0.57199,                0.43799,                 0.4576,                0.28501,                 1.1292,                0.79508,                0.87384,               0.006832,               0.006832,               0.006832
                     98,                 1.0599,                0.62388,                0.85898,                0.57352,                0.44135,                0.45884,                0.28591,                 1.1269,                0.79546,                0.87385,               0.006799,               0.006799,               0.006799
                     99,                   1.06,                0.62478,                0.85881,                0.57199,                0.44141,                0.45962,                0.28525,                 1.1235,                0.79291,                0.87301,               0.006766,               0.006766,               0.006766
                    100,                 1.0545,                0.62068,                0.85793,                 0.5688,                0.44482,                0.46032,                0.28553,                 1.1236,                 0.7923,                0.87322,               0.006733,               0.006733,               0.006733
                    101,                 1.0521,                0.62056,                0.85726,                0.57584,                0.44424,                0.46152,                0.28649,                 1.1252,                0.79373,                0.87398,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0538,                0.61952,                0.85739,                0.57945,                0.44144,                 0.4613,                0.28545,                 1.1258,                0.79539,                0.87366,               0.006667,               0.006667,               0.006667
                    103,                  1.051,                0.61787,                0.85676,                0.58469,                0.44011,                0.46215,                0.28632,                 1.1262,                0.79577,                 0.8736,               0.006634,               0.006634,               0.006634
                    104,                  1.053,                0.61711,                0.85862,                0.58119,                0.43795,                0.45975,                0.28555,                 1.1277,                0.79706,                0.87393,               0.006601,               0.006601,               0.006601
                    105,                 1.0498,                0.61401,                0.85624,                0.57246,                0.44068,                0.46008,                0.28517,                 1.1263,                0.79795,                0.87335,               0.006568,               0.006568,               0.006568
                    106,                  1.048,                0.61377,                0.85823,                0.57025,                0.44326,                0.45945,                0.28455,                 1.1258,                0.80003,                0.87383,               0.006535,               0.006535,               0.006535
                    107,                 1.0418,                0.60798,                0.85731,                0.57712,                0.44081,                0.45934,                0.28469,                 1.1263,                0.80157,                0.87398,               0.006502,               0.006502,               0.006502
                    108,                 1.0479,                0.61027,                0.85782,                0.57258,                0.44385,                 0.4588,                0.28493,                 1.1282,                0.80232,                0.87443,               0.006469,               0.006469,               0.006469
                    109,                 1.0435,                 0.6056,                 0.8568,                0.56865,                0.44274,                0.45887,                0.28499,                 1.1279,                0.80046,                0.87447,               0.006436,               0.006436,               0.006436
                    110,                 1.0443,                0.60714,                0.85466,                0.57715,                 0.4375,                0.45864,                0.28471,                 1.1275,                0.79979,                0.87442,               0.006403,               0.006403,               0.006403
                    111,                 1.0463,                0.60746,                0.85506,                0.56901,                0.44007,                 0.4585,                0.28465,                 1.1271,                0.79881,                0.87415,                0.00637,                0.00637,                0.00637
                    112,                 1.0389,                 0.6037,                0.85548,                0.57324,                0.43975,                0.45923,                0.28451,                 1.1273,                0.79751,                0.87436,               0.006337,               0.006337,               0.006337
                    113,                 1.0416,                0.60444,                0.85554,                0.58114,                0.43677,                0.45928,                0.28461,                 1.1262,                0.79706,                0.87434,               0.006304,               0.006304,               0.006304
                    114,                  1.033,                0.59927,                0.85337,                0.57501,                0.44148,                0.45878,                0.28467,                 1.1266,                 0.7956,                 0.8744,               0.006271,               0.006271,               0.006271
                    115,                 1.0366,                0.59635,                0.85439,                0.57828,                0.44108,                0.45928,                0.28471,                  1.126,                0.79588,                0.87435,               0.006238,               0.006238,               0.006238
                    116,                  1.034,                0.59729,                0.85529,                0.58609,                0.43684,                0.45853,                0.28464,                 1.1265,                0.79566,                0.87464,               0.006205,               0.006205,               0.006205
                    117,                  1.029,                 0.5928,                0.85271,                0.58602,                0.43739,                 0.4593,                0.28469,                 1.1259,                0.79636,                0.87439,               0.006172,               0.006172,               0.006172
                    118,                 1.0367,                0.59561,                  0.854,                0.58254,                0.43761,                0.45852,                0.28436,                 1.1257,                0.79746,                0.87434,               0.006139,               0.006139,               0.006139
                    119,                 1.0279,                0.59088,                0.85405,                0.57471,                0.44049,                0.45922,                0.28468,                 1.1267,                0.79824,                0.87458,               0.006106,               0.006106,               0.006106
                    120,                 1.0306,                0.59542,                0.85498,                0.57111,                0.44439,                0.45928,                0.28478,                 1.1273,                0.79813,                0.87446,               0.006073,               0.006073,               0.006073
                    121,                 1.0405,                0.59549,                0.85302,                0.57481,                0.44379,                0.45959,                0.28526,                 1.1276,                0.79934,                0.87459,                0.00604,                0.00604,                0.00604
                    122,                 1.0233,                0.58856,                 0.8518,                0.57664,                0.44317,                0.46074,                0.28611,                  1.127,                0.79776,                0.87442,               0.006007,               0.006007,               0.006007
                    123,                 1.0268,                0.58938,                0.85207,                0.58041,                0.44129,                 0.4613,                0.28657,                 1.1284,                0.79878,                0.87469,               0.005974,               0.005974,               0.005974
                    124,                  1.025,                0.58664,                0.85239,                 0.5941,                0.43528,                0.46103,                0.28633,                 1.1282,                0.79888,                0.87468,               0.005941,               0.005941,               0.005941
                    125,                 1.0272,                0.58779,                0.85185,                0.59196,                0.43648,                0.46165,                0.28673,                 1.1282,                0.79942,                0.87488,               0.005908,               0.005908,               0.005908
                    126,                  1.022,                0.58489,                0.85177,                0.59188,                0.43794,                0.46241,                0.28762,                 1.1287,                0.80021,                0.87502,               0.005875,               0.005875,               0.005875
                    127,                 1.0296,                0.58787,                0.85255,                 0.5915,                 0.4372,                0.46263,                0.28766,                 1.1297,                0.79981,                0.87527,               0.005842,               0.005842,               0.005842
                    128,                 1.0171,                0.57985,                0.85044,                  0.593,                0.43574,                0.46217,                0.28754,                 1.1301,                0.80048,                0.87553,               0.005809,               0.005809,               0.005809
                    129,                 1.0194,                0.58143,                0.85231,                0.59433,                 0.4356,                0.46165,                0.28727,                 1.1297,                0.80071,                0.87545,               0.005776,               0.005776,               0.005776
                    130,                 1.0173,                0.58114,                0.85039,                0.59771,                  0.434,                 0.4618,                0.28759,                 1.1294,                0.80089,                0.87541,               0.005743,               0.005743,               0.005743
                    131,                 1.0175,                0.58087,                0.84965,                0.58878,                0.43672,                0.46207,                0.28757,                  1.129,                0.80128,                0.87532,                0.00571,                0.00571,                0.00571
                    132,                 1.0185,                0.57906,                0.85072,                0.59068,                0.43446,                0.46205,                0.28763,                 1.1285,                 0.8015,                0.87522,               0.005677,               0.005677,               0.005677
